                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                0.33913,                 0.3035,                0.89476,                 0.9872,                0.92738,                0.99018,                0.77294,                 1.0035,                0.44397,                 1.1922,              0.0038125,              0.0038125,              0.0038125
                    127,                0.32197,                0.29914,                 0.8823,                0.96307,                0.91477,                 0.9738,                0.74412,                 1.0301,                 0.5494,                 1.1976,               0.003763,               0.003763,               0.003763
                    128,                0.32774,                0.29584,                0.88603,                0.94201,                0.97727,                0.97899,                0.76588,                 1.0399,                0.42459,                 1.2255,              0.0037135,              0.0037135,              0.0037135
                    129,                0.33062,                0.28827,                0.87885,                0.97043,                0.97727,                0.98813,                0.76598,                  1.053,                0.47777,                 1.2372,               0.003664,               0.003664,               0.003664
                    130,                0.33851,                  0.316,                0.89244,                0.98221,                0.96602,                0.98134,                0.74709,                0.99698,                0.42168,                 1.2076,              0.0036145,              0.0036145,              0.0036145
                    131,                0.32797,                0.28576,                0.89573,                0.96188,                0.96905,                0.98609,                0.78291,                 1.0009,                0.43156,                 1.2593,               0.003565,               0.003565,               0.003565
                    132,                0.31875,                0.29687,                0.88486,                0.98663,                 0.9417,                0.99313,                0.76745,                  1.034,                0.42645,                 1.2898,              0.0035155,              0.0035155,              0.0035155
                    133,                0.32675,                0.29824,                0.89096,                0.98616,                0.95181,                0.99154,                0.77509,                 1.0147,                 0.4689,                  1.315,               0.003466,               0.003466,               0.003466
                    134,                 0.3036,                0.29114,                0.87544,                0.98979,                0.94819,                0.97839,                0.74946,                 1.0495,                0.54659,                 1.3229,              0.0034165,              0.0034165,              0.0034165
                    135,                0.31672,                0.29409,                0.88029,                 0.9868,                0.97364,                0.98625,                0.75191,                  1.029,                0.47025,                 1.3084,               0.003367,               0.003367,               0.003367
                    136,                0.31184,                0.28988,                0.88981,                0.98757,                0.97124,                  0.989,                0.76593,                 1.0573,                0.43779,                 1.2858,              0.0033175,              0.0033175,              0.0033175
                    137,                0.32169,                0.29318,                0.89671,                0.98862,                0.95926,                0.99313,                0.77715,                 1.0047,                0.40912,                 1.2048,               0.003268,               0.003268,               0.003268
                    138,                0.30941,                0.27298,                0.88256,                0.98673,                0.98045,                  0.995,                0.76866,                0.99554,                0.37361,                  1.212,              0.0032185,              0.0032185,              0.0032185
                    139,                0.30257,                0.29246,                0.87806,                0.96315,                      1,                0.99313,                0.75057,                 1.0333,                0.40516,                 1.2566,               0.003169,               0.003169,               0.003169
                    140,                0.29703,                0.26938,                0.86821,                0.99047,                0.97675,                0.99018,                0.75848,                 1.0413,                0.42209,                 1.2282,              0.0031195,              0.0031195,              0.0031195
                    141,                0.29968,                0.29044,                0.88343,                0.98822,                0.97204,                0.99313,                0.78049,                0.98564,                0.35512,                 1.1907,                0.00307,                0.00307,                0.00307
                    142,                0.28957,                0.26795,                0.86809,                0.99228,                0.96433,                0.99313,                0.78106,                  0.972,                0.36627,                 1.1702,              0.0030205,              0.0030205,              0.0030205
                    143,                0.31051,                0.28036,                0.87996,                0.99122,                0.96341,                0.98488,                0.74048,                   1.06,                0.43205,                 1.2249,               0.002971,               0.002971,               0.002971
                    144,                0.29271,                0.26915,                0.87221,                 0.9845,                0.97902,                  0.995,                0.78509,                0.96569,                0.38162,                 1.1421,              0.0029215,              0.0029215,              0.0029215
                    145,                 0.2987,                0.28346,                0.88043,                0.98901,                0.97727,                0.99313,                0.77245,                 0.9566,                0.37531,                  1.159,               0.002872,               0.002872,               0.002872
                    146,                 0.3012,                0.28094,                0.88878,                0.99085,                0.97727,                0.99313,                0.77658,                0.96699,                0.36845,                 1.1767,              0.0028225,              0.0028225,              0.0028225
                    147,                0.29876,                 0.2777,                 0.8806,                0.98542,                0.97727,                  0.989,                0.77322,                 1.0217,                 0.4086,                 1.2402,               0.002773,               0.002773,               0.002773
                    148,                0.29387,                0.27039,                0.87394,                0.97781,                0.97727,                0.97937,                0.76114,                0.99267,                0.41032,                 1.2148,              0.0027235,              0.0027235,              0.0027235
                    149,                0.27706,                0.25551,                0.86197,                0.97718,                0.97727,                0.97901,                0.77436,                0.97492,                0.40584,                 1.2042,               0.002674,               0.002674,               0.002674
                    150,                0.28875,                0.26468,                0.88246,                0.98678,                0.97538,                0.97937,                0.77766,                0.99896,                0.45489,                 1.2128,              0.0026245,              0.0026245,              0.0026245
                    151,                0.27682,                0.26192,                0.87483,                0.99401,                0.96889,                0.97937,                0.77796,                0.98282,                0.44934,                 1.2099,               0.002575,               0.002575,               0.002575
                    152,                0.29133,                 0.2605,                0.88394,                0.98499,                0.97298,                0.97978,                0.78428,                 1.0047,                0.41451,                 1.2431,              0.0025255,              0.0025255,              0.0025255
                    153,                0.28901,                0.25151,                0.87169,                0.98029,                0.97727,                0.97677,                0.75134,                 1.0617,                0.45655,                 1.2508,               0.002476,               0.002476,               0.002476
                    154,                0.27062,                0.23883,                0.86821,                0.99205,                0.96472,                0.97869,                0.76831,                 1.0183,                0.39028,                 1.2224,              0.0024265,              0.0024265,              0.0024265
                    155,                0.26919,                0.24988,                0.87177,                0.98689,                0.96629,                0.99154,                0.78121,                0.97141,                0.38305,                 1.1753,               0.002377,               0.002377,               0.002377
                    156,                  0.284,                0.24995,                0.86826,                0.98336,                0.96152,                0.97901,                0.75847,                 1.0522,                0.45375,                 1.2661,              0.0023275,              0.0023275,              0.0023275
                    157,                0.28252,                0.25646,                  0.871,                0.99141,                0.96478,                0.99313,                0.76332,                 1.0284,                0.41679,                 1.2715,               0.002278,               0.002278,               0.002278
