                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                 0.5151,                0.45457,                0.95377,                0.87035,                0.90213,                0.93419,                0.67834,                 1.1356,                0.71608,                 1.3347,              0.0091486,              0.0091486,              0.0091486
                     88,                0.46002,                 0.4391,                0.94997,                0.98049,                0.96153,                0.98917,                0.75075,                 1.0505,                0.47397,                 1.2327,              0.0091387,              0.0091387,              0.0091387
                     89,                0.52216,                 0.4727,                 0.9683,                0.93604,                  0.926,                0.96176,                0.66659,                  1.218,                0.69566,                 1.4013,              0.0091288,              0.0091288,              0.0091288
                     90,                 0.4787,                0.46209,                0.95108,                 0.9662,                0.92703,                 0.9839,                0.73649,                 1.0701,                0.50897,                 1.3119,              0.0091189,              0.0091189,              0.0091189
                     91,                0.46329,                 0.4463,                0.92213,                0.98894,                0.84021,                0.95785,                0.66832,                 1.2052,                0.66833,                 1.4804,               0.009109,               0.009109,               0.009109
                     92,                 0.4509,                0.44949,                0.92911,                0.97183,                0.93127,                0.98643,                0.72382,                 1.1313,                0.53144,                 1.3472,              0.0090991,              0.0090991,              0.0090991
                     93,                0.47315,                0.44904,                0.94582,                0.95879,                0.95455,                0.98861,                0.73083,                 1.1388,                0.48211,                 1.3785,              0.0090892,              0.0090892,              0.0090892
                     94,                0.42712,                0.40142,                0.92109,                0.98621,                 0.9747,                0.99313,                 0.7201,                 1.1721,                0.43849,                 1.4257,              0.0090793,              0.0090793,              0.0090793
                     95,                0.47417,                0.45852,                0.95062,                0.97698,                0.92595,                0.98987,                0.68849,                 1.1792,                0.54438,                 1.3393,              0.0090694,              0.0090694,              0.0090694
                     96,                0.44859,                0.41196,                0.91508,                 0.9712,                0.90966,                0.96247,                0.68828,                 1.1955,                 0.5727,                 1.4023,              0.0090595,              0.0090595,              0.0090595
                     97,                 0.4445,                0.44574,                0.92729,                0.92389,                0.94545,                0.98861,                 0.7437,                 1.0628,                0.50541,                 1.2721,              0.0090496,              0.0090496,              0.0090496
                     98,                0.45691,                0.43219,                0.93796,                0.83416,                0.69339,                0.81874,                0.49752,                 1.4824,                 1.2959,                 1.6764,              0.0090397,              0.0090397,              0.0090397
                     99,                0.43428,                0.43954,                0.91769,                0.98042,                0.92549,                0.98923,                0.73635,                 1.1686,                0.55347,                 1.3281,              0.0090298,              0.0090298,              0.0090298
                    100,                0.44925,                0.45582,                0.94167,                0.93795,                0.95968,                0.98375,                0.68675,                 1.1515,                0.55529,                 1.3318,              0.0090199,              0.0090199,              0.0090199
                    101,                0.44174,                0.42218,                0.93135,                0.96529,                 0.9555,                0.97437,                0.72836,                 1.0644,                 0.5336,                 1.2901,                0.00901,                0.00901,                0.00901
                    102,                0.44014,                0.40865,                0.93075,                0.97255,                0.91076,                0.96639,                0.73401,                 1.0439,                 0.5279,                 1.3432,              0.0090001,              0.0090001,              0.0090001
                    103,                0.44337,                0.40685,                0.92234,                0.98396,                0.94057,                0.97242,                0.72091,                 1.1121,                0.45482,                 1.3709,              0.0089902,              0.0089902,              0.0089902
                    104,                0.43793,                0.40947,                0.94813,                0.87694,                0.89909,                0.93265,                0.66998,                 1.2011,                0.73166,                 1.4128,              0.0089803,              0.0089803,              0.0089803
                    105,                0.42549,                0.41865,                0.92208,                0.97103,                0.91466,                0.95069,                0.66465,                 1.1244,                0.57335,                 1.3192,              0.0089704,              0.0089704,              0.0089704
                    106,                0.43715,                 0.4059,                0.92777,                0.94181,                0.94026,                0.96784,                0.72972,                 1.1401,                 0.5449,                 1.3195,              0.0089605,              0.0089605,              0.0089605
                    107,                0.44379,                0.41348,                0.92399,                0.96916,                0.93182,                0.95427,                0.71861,                 1.1332,                 0.5852,                 1.3788,              0.0089506,              0.0089506,              0.0089506
                    108,                0.42555,                0.41825,                0.92951,                0.92158,                0.86708,                0.93658,                0.68331,                 1.2183,                0.59154,                 1.4411,              0.0089407,              0.0089407,              0.0089407
                    109,                0.44551,                0.41067,                0.91961,                0.93815,                0.94408,                0.96089,                0.72332,                 1.1637,                 0.5943,                 1.4302,              0.0089308,              0.0089308,              0.0089308
                    110,                0.45959,                 0.4202,                0.93399,                0.95543,                0.92165,                0.96255,                0.73988,                 1.1013,                0.51691,                 1.3594,              0.0089209,              0.0089209,              0.0089209
                    111,                0.44007,                0.40668,                0.91794,                 0.9692,                0.94619,                0.97471,                0.72448,                 1.0847,                 0.4619,                 1.3012,               0.008911,               0.008911,               0.008911
                    112,                 0.4322,                0.39292,                0.91289,                 0.9958,                0.86081,                0.95286,                0.71149,                 1.0888,                0.53926,                  1.287,              0.0089011,              0.0089011,              0.0089011
                    113,                0.42259,                0.40054,                 0.9171,                0.93678,                0.89294,                0.94811,                0.72092,                 1.0769,                0.61652,                 1.2821,              0.0088912,              0.0088912,              0.0088912
                    114,                0.42905,                0.40622,                0.92198,                0.88329,                0.96542,                 0.9651,                0.72299,                 1.0363,                0.48294,                 1.2489,              0.0088813,              0.0088813,              0.0088813
                    115,                0.42235,                0.37981,                0.92341,                0.92352,                0.79213,                  0.915,                0.65588,                 1.2553,                0.81369,                  1.486,              0.0088714,              0.0088714,              0.0088714
                    116,                0.40244,                 0.3809,                 0.9022,                0.94571,                 0.9447,                0.97232,                0.71048,                  1.146,                0.57981,                 1.3566,              0.0088615,              0.0088615,              0.0088615
                    117,                0.41094,                0.37069,                0.92713,                0.93542,                0.95749,                0.95814,                0.72116,                 1.1098,                0.54086,                 1.3608,              0.0088516,              0.0088516,              0.0088516
                    118,                0.42971,                0.38112,                0.92447,                0.88122,                0.97727,                0.98849,                0.75297,                 1.1155,                 0.5635,                 1.2952,              0.0088417,              0.0088417,              0.0088417
                    119,                 0.4108,                0.37066,                0.90489,                 0.9351,                  0.975,                0.98152,                 0.7204,                 1.1502,                0.54007,                 1.3072,              0.0088318,              0.0088318,              0.0088318
                    120,                 0.4216,                0.37302,                0.92426,                0.98739,                0.93502,                0.97073,                 0.7314,                 1.0859,                0.50994,                 1.2866,              0.0088219,              0.0088219,              0.0088219
                    121,                0.44473,                 0.3933,                0.92749,                0.97411,                0.95168,                0.97351,                0.71947,                 1.1239,                 0.5422,                 1.3328,               0.008812,               0.008812,               0.008812
                    122,                0.41424,                0.37576,                0.91325,                0.94817,                  0.939,                0.98271,                 0.7226,                 1.1224,                0.55931,                 1.3303,              0.0088021,              0.0088021,              0.0088021
                    123,                0.43159,                0.40319,                 0.9412,                0.98991,                0.94784,                0.98077,                 0.7363,                 1.1188,                0.48145,                 1.2753,              0.0087922,              0.0087922,              0.0087922
                    124,                0.40885,                0.39587,                0.91825,                0.94568,                  0.941,                0.97494,                0.73165,                 1.1722,                0.58015,                 1.4025,              0.0087823,              0.0087823,              0.0087823
                    125,                0.40822,                0.39179,                0.91097,                0.94892,                0.95953,                0.98977,                0.74232,                 1.1298,                0.49016,                 1.3593,              0.0087724,              0.0087724,              0.0087724
                    126,                0.42432,                0.37762,                0.92785,                0.95319,                0.96897,                0.97523,                0.70559,                  1.161,                 0.5109,                 1.4068,              0.0087625,              0.0087625,              0.0087625
                    127,                 0.4187,                0.38605,                0.91042,                0.94384,                 0.9199,                0.98992,                0.73884,                 1.1163,                0.52978,                 1.3971,              0.0087526,              0.0087526,              0.0087526
                    128,                0.41878,                0.35932,                0.92584,                0.93665,                0.97727,                0.98725,                0.74923,                 1.1414,                 0.5172,                 1.3659,              0.0087427,              0.0087427,              0.0087427
                    129,                0.41004,                0.35656,                0.92008,                0.94579,                   0.99,                0.99412,                0.73441,                 1.2278,                0.48259,                 1.4662,              0.0087328,              0.0087328,              0.0087328
                    130,                0.42906,                0.38745,                 0.9288,                0.96601,                0.91425,                0.98629,                0.75547,                 1.1247,                 0.5617,                 1.3548,              0.0087229,              0.0087229,              0.0087229
                    131,                0.41263,                0.35552,                0.91067,                0.98821,                0.93147,                0.97384,                0.75112,                  1.111,                 0.4557,                 1.3378,               0.008713,               0.008713,               0.008713
                    132,                0.42153,                0.40444,                0.92521,                0.98951,                0.90758,                0.97295,                0.72822,                 1.1144,                0.47298,                 1.2938,              0.0087031,              0.0087031,              0.0087031
                    133,                0.41727,                0.39979,                 0.9186,                0.98812,                0.91843,                 0.9834,                0.73836,                 1.1566,                0.50422,                 1.3822,              0.0086932,              0.0086932,              0.0086932
                    134,                0.40188,                0.37771,                0.91159,                0.95182,                0.90767,                0.95331,                0.70322,                  1.178,                0.54592,                  1.398,              0.0086833,              0.0086833,              0.0086833
                    135,                0.38168,                0.35434,                0.90869,                0.96159,                0.93314,                0.96172,                0.69771,                 1.1983,                0.54131,                 1.4385,              0.0086734,              0.0086734,              0.0086734
                    136,                0.42211,                0.37566,                0.93124,                0.92793,                0.95426,                0.97337,                0.70364,                 1.2173,                0.58668,                 1.4734,              0.0086635,              0.0086635,              0.0086635
                    137,                0.39676,                0.35858,                0.91835,                0.97672,                 0.9432,                0.97437,                0.72041,                 1.1732,                0.56002,                  1.392,              0.0086536,              0.0086536,              0.0086536
                    138,                0.39378,                0.35851,                 0.9085,                0.94446,                0.92731,                0.95381,                0.71384,                 1.1381,                0.56828,                 1.3628,              0.0086437,              0.0086437,              0.0086437
                    139,                0.41137,                0.37941,                0.92578,                0.95148,                0.97727,                0.97692,                0.74019,                 1.1138,                0.44326,                 1.3197,              0.0086338,              0.0086338,              0.0086338
                    140,                 0.3925,                0.36358,                0.91679,                  0.951,                0.93491,                0.99036,                0.74629,                 1.0425,                0.52533,                 1.2702,              0.0086239,              0.0086239,              0.0086239
                    141,                0.39125,                0.37768,                0.92107,                0.88669,                0.97496,                0.98213,                0.71821,                 1.1234,                0.54033,                 1.3515,               0.008614,               0.008614,               0.008614
                    142,                0.37943,                0.36021,                0.90481,                0.84294,                0.75136,                0.87123,                0.61632,                 1.2755,                 1.4664,                 1.4106,              0.0086041,              0.0086041,              0.0086041
                    143,                0.40448,                0.37132,                0.91075,                0.93925,                0.96873,                0.97504,                0.74287,                 1.1299,                0.56011,                 1.3218,              0.0085942,              0.0085942,              0.0085942
                    144,                0.38928,                0.35265,                0.91612,                0.95349,                0.93048,                0.97336,                0.74935,                 1.1239,                0.54461,                 1.3316,              0.0085843,              0.0085843,              0.0085843
                    145,                0.40702,                0.35753,                0.90057,                0.91536,                0.92184,                0.95515,                 0.7057,                 1.1225,                0.52279,                 1.3131,              0.0085744,              0.0085744,              0.0085744
                    146,                0.40016,                0.36118,                0.91366,                0.87763,                0.89536,                0.94047,                 0.6824,                 1.1797,                0.62756,                 1.3814,              0.0085645,              0.0085645,              0.0085645
